R	P	FP	R_stdev	P_stdev	FP_stdev	ClassifierOutput
0.70024126984127	0.995454545454545	0.0133333333333333	0.00382017558454728	0.00556702214270391	0.0163299316185545	17.4769552230835
0.70823492063492	0.995505617977528	0.0133333333333333	0.00382326094626908	0.00550447133209705	0.0163299316185545	17.3736698150635
0.716228571428571	0.995555555555556	0.0133333333333333	0.00382643863837301	0.00544331053951969	0.0163299316185545	17.2184613227844
0.723428571428571	0.994505494505495	0.0165591397849462	0.00484873221387248	0.00549450549450726	0.0165619324554754	16.9753366470337
0.731422222222222	0.994565217391304	0.0165591397849462	0.0048607269689761	0.00543478260867276	0.0165619324554754	16.8676378250122
0.739415873015873	0.994623655913978	0.0165591397849462	0.0048727666551539	0.00537634408605885	0.0165619324554754	16.7814452171326
0.747409523809524	0.99468085106383	0.0165591397849462	0.0048848509401721	0.0053191489361755	0.0165619324554754	16.6487234115601
0.755403174603175	0.994736842105263	0.0165591397849462	0.00489697949386988	0.00526315789475095	0.0165619324554754	16.5279362678528
0.762596825396825	0.99375	0.0198924731182796	0.00594093375470901	0.00690963497990823	0.0220482553425203	16.3409276008606
0.770590476190476	0.993814432989691	0.0198924731182796	0.00595017864022671	0.00683840162960933	0.0220482553425203	16.1285641670227
0.777784126984127	0.992857142857143	0.0232258064516129	0.00673868582303085	0.00796964252642686	0.025994832148256	15.8723100662231
0.784184126984127	0.990909090909091	0.0297849462365591	0.00843878316019658	0.00952927387075772	0.0312015145892058	15.78549451828
0.789777777777778	0.988	0.0397849462365591	0.00992415683517373	0.0116619037896983	0.0387305797807296	15.5967421531677
0.796971428571428	0.987128712871287	0.0431182795698925	0.00938274577976519	0.0108910891088963	0.0365352546896976	15.3694692611694
0.804965079365079	0.987254901960784	0.0431182795698925	0.00939037959962207	0.0107843137254918	0.0365352546896976	15.0931347846985
0.81215873015873	0.986407766990291	0.0464516129032258	0.0107152803771133	0.0124332509464657	0.0425915050775987	14.9686470985413
0.819352380952381	0.985576923076923	0.0497849462365591	0.0100874003716785	0.0115784563257702	0.0400544490090711	14.7859765052795
0.827346031746032	0.985714285714286	0.0497849462365591	0.0100936027426421	0.0114681853131271	0.0400544490090711	14.2358512878418
0.835339682539682	0.985849056603774	0.0497849462365591	0.0100998372273027	0.011359994885644	0.0400544490090711	13.8733036994934
0.843333333333333	0.985981308411215	0.0497849462365591	0.0101061037661965	0.0112538267091377	0.0400544490090711	13.2170758247375
0.851326984126984	0.986111111111111	0.0497849462365591	0.010112402299759	0.0111496246100008	0.0400544490090711	12.8861764907837
0.858520634920635	0.985321100917431	0.0531182795698925	0.0100330338735311	0.0110091743119162	0.0399334629861404	12.4001853942871
0.865714285714286	0.984545454545455	0.0564516129032258	0.0105149068139584	0.0115350704913168	0.0422493082394328	12.1121423721313
0.872907936507936	0.983783783783784	0.0597849462365591	0.0096729090799051	0.0105062196303604	0.0388414721745855	11.7184663772583
0.880901587301587	0.983928571428571	0.0597849462365591	0.00967806506026217	0.0104124140979317	0.0388414721745855	11.2943325042725
0.888095238095238	0.983185840707965	0.0631182795698925	0.0106657312514953	0.0115044247787673	0.0433215918349273	10.7700333595276
0.894488888888889	0.981578947368421	0.0695766129032258	0.0111522792887112	0.0120594097235838	0.0460155269652518	10.2818550109863
0.90248253968254	0.981739130434783	0.0695766129032258	0.0111554832820545	0.0119545452911758	0.0460155269652518	9.43169422149658
0.906476190476191	0.977586206896552	0.0862432795698925	0.0124067131268641	0.0134659477170945	0.052370342143495	8.97983994483948
0.912869841269841	0.976068376068376	0.0927016129032258	0.0126210995636236	0.0136752136752184	0.053665032584895	8.50011520385742
0.919263492063492	0.974576271186441	0.0993682795698925	0.0115714246521542	0.0125698279442313	0.0498834507768453	7.57698469161987
